board,model,problem_set,problem_index,problem_id,result,runs
scored,GPT-OSS 120B,normal,127,N_127,mixed,RRG
scored,GPT-OSS 120B,normal,128,N_128,correct,G
scored,GPT-OSS 120B,normal,129,N_129,mixed,RRG
scored,GPT-OSS 120B,normal,130,N_130,mixed,GRG
scored,GPT-OSS 120B,normal,131,N_131,mixed,GRG
scored,GPT-OSS 120B,normal,132,N_132,mixed,GRG
scored,GPT-OSS 120B,normal,133,N_133,correct,G
scored,GPT-OSS 120B,normal,134,N_134,correct,G
scored,GPT-OSS 120B,normal,135,N_135,correct,G
scored,GPT-OSS 120B,normal,136,N_136,incorrect,R
scored,GPT-OSS 120B,normal,137,N_137,correct,G
scored,GPT-OSS 120B,normal,138,N_138,incorrect,R
scored,GPT-OSS 120B,normal,139,N_139,mixed,RGR
scored,GPT-OSS 120B,normal,140,N_140,mixed,GGR
scored,GPT-OSS 120B,normal,141,N_141,correct,G
scored,GPT-OSS 120B,normal,142,N_142,incorrect,R
scored,GPT-OSS 120B,normal,143,N_143,mixed,GRR
scored,GPT-OSS 120B,normal,144,N_144,mixed,GRG
scored,GPT-OSS 120B,normal,145,N_145,correct,G
scored,GPT-OSS 120B,normal,146,N_146,incorrect,R
scored,GPT-OSS 120B,normal,147,N_147,incorrect,R
scored,GPT-OSS 120B,normal,148,N_148,mixed,GRR
scored,GPT-OSS 120B,normal,149,N_149,mixed,RGR
scored,GPT-OSS 120B,normal,150,N_150,incorrect,R
scored,GPT-OSS 120B,normal,151,N_151,mixed,GRR
scored,GPT-OSS 120B,normal,152,N_152,mixed,GRG
scored,GPT-OSS 120B,normal,153,N_153,correct,G
scored,GPT-OSS 120B,normal,154,N_154,mixed,RGG
scored,GPT-OSS 120B,normal,155,N_155,correct,G
scored,GPT-OSS 120B,normal,156,N_156,incorrect,R
scored,GPT-OSS 120B,normal,157,N_157,mixed,RRG
scored,GPT-OSS 120B,normal,158,N_158,mixed,RGR
scored,GPT-OSS 120B,normal,159,N_159,incorrect,R
scored,GPT-OSS 120B,normal,160,N_160,correct,G
scored,GPT-OSS 120B,normal,161,N_161,mixed,GRG
scored,GPT-OSS 120B,normal,162,N_162,mixed,RGG
scored,GPT-OSS 120B,normal,163,N_163,incorrect,R
scored,GPT-OSS 120B,normal,164,N_164,correct,G
scored,GPT-OSS 120B,normal,165,N_165,correct,G
scored,GPT-OSS 120B,normal,166,N_166,correct,G
scored,GPT-OSS 120B,normal,167,N_167,mixed,RGR
scored,GPT-OSS 120B,normal,168,N_168,mixed,RGG
scored,GPT-OSS 120B,normal,169,N_169,incorrect,R
scored,GPT-OSS 120B,normal,170,N_170,correct,G
scored,GPT-OSS 120B,normal,171,N_171,mixed,RGR
scored,GPT-OSS 120B,normal,172,N_172,incorrect,R
scored,GPT-OSS 120B,normal,173,N_173,incorrect,R
scored,GPT-OSS 120B,normal,174,N_174,mixed,GRR
scored,GPT-OSS 120B,normal,175,N_175,correct,G
scored,GPT-OSS 120B,normal,176,N_176,mixed,RGG
scored,GPT-OSS 120B,normal,177,N_177,mixed,RGR
scored,GPT-OSS 120B,normal,178,N_178,correct,G
scored,GPT-OSS 120B,normal,179,N_179,mixed,RGR
scored,GPT-OSS 120B,normal,180,N_180,mixed,RGR
scored,GPT-OSS 120B,normal,181,N_181,mixed,GRR
scored,GPT-OSS 120B,normal,182,N_182,correct,G
scored,GPT-OSS 120B,normal,183,N_183,mixed,RGR
scored,GPT-OSS 120B,normal,184,N_184,correct,G
scored,GPT-OSS 120B,normal,185,N_185,incorrect,R
scored,GPT-OSS 120B,normal,186,N_186,mixed,RRG
scored,GPT-OSS 120B,normal,187,N_187,mixed,GRR
scored,GPT-OSS 120B,normal,188,N_188,correct,G
scored,GPT-OSS 120B,normal,189,N_189,correct,G
scored,GPT-OSS 120B,normal,190,N_190,correct,G
scored,GPT-OSS 120B,normal,191,N_191,incorrect,R
scored,GPT-OSS 120B,normal,192,N_192,correct,G
scored,GPT-OSS 120B,normal,193,N_193,correct,G
scored,GPT-OSS 120B,normal,194,N_194,correct,G
scored,GPT-OSS 120B,normal,195,N_195,incorrect,R
scored,GPT-OSS 120B,normal,196,N_196,mixed,RGG
scored,GPT-OSS 120B,normal,197,N_197,correct,G
scored,GPT-OSS 120B,normal,198,N_198,mixed,RRG
scored,GPT-OSS 120B,normal,199,N_199,correct,G
scored,GPT-OSS 120B,normal,200,N_200,correct,G
scored,Llama 3.3 70B Instruct,normal,1,N_001,correct,G
scored,Llama 3.3 70B Instruct,normal,2,N_002,incorrect,R
scored,Llama 3.3 70B Instruct,normal,3,N_003,correct,G
scored,Llama 3.3 70B Instruct,normal,4,N_004,incorrect,R
scored,Llama 3.3 70B Instruct,normal,5,N_005,correct,G
scored,Llama 3.3 70B Instruct,normal,6,N_006,incorrect,R
scored,Llama 3.3 70B Instruct,normal,7,N_007,correct,G
scored,Llama 3.3 70B Instruct,normal,8,N_008,incorrect,R
scored,Llama 3.3 70B Instruct,normal,9,N_009,correct,G
scored,Llama 3.3 70B Instruct,normal,10,N_010,incorrect,R
scored,Llama 3.3 70B Instruct,normal,11,N_011,correct,G
scored,Llama 3.3 70B Instruct,normal,12,N_012,incorrect,R
scored,Llama 3.3 70B Instruct,normal,13,N_013,correct,G
scored,Llama 3.3 70B Instruct,normal,14,N_014,incorrect,R
scored,Llama 3.3 70B Instruct,normal,15,N_015,correct,G
scored,Llama 3.3 70B Instruct,normal,16,N_016,incorrect,R
scored,Llama 3.3 70B Instruct,normal,17,N_017,correct,G
scored,Llama 3.3 70B Instruct,normal,18,N_018,incorrect,R
scored,Llama 3.3 70B Instruct,normal,19,N_019,correct,G
scored,Llama 3.3 70B Instruct,normal,20,N_020,incorrect,R
scored,Llama 3.3 70B Instruct,normal,21,N_021,correct,G
scored,Llama 3.3 70B Instruct,normal,22,N_022,incorrect,R
scored,Llama 3.3 70B Instruct,normal,23,N_023,correct,G
scored,Llama 3.3 70B Instruct,normal,24,N_024,incorrect,R
