id,eq1,eq2,label,an45c_predicted,an38_predicted
hard3_0031,x = (x * y) * (x * x),x * y = x * (z * (z * y)),FALSE,TRUE,FALSE
hard3_0032,x = (y * x) * (x * z),x * y = (x * (z * x)) * y,FALSE,TRUE,FALSE
hard3_0040,x = (x * (y * z)) * y,x = (((x * x) * x) * x) * x,FALSE,TRUE,FALSE
hard3_0063,x = x * (x * (y * (z * y))),x = x * ((y * (z * w)) * w),FALSE,TRUE,FALSE
hard3_0079,x = y * (z * (z * (z * x))),x = ((y * y) * z) * (x * x),FALSE,TRUE,FALSE
hard3_0086,x = x * (y * ((y * z) * y)),x * y = ((x * z) * y) * w,FALSE,TRUE,FALSE
hard3_0096,x = y * (z * ((x * w) * x)),x = (x * (x * x)) * x,FALSE,TRUE,FALSE
hard3_0102,x = y * (z * ((w * w) * x)),x = ((x * (y * x)) * z) * x,FALSE,TRUE,FALSE
hard3_0109,x = x * ((y * z) * (w * w)),(x * y) * x = (x * z) * y,TRUE,FALSE,TRUE
hard3_0111,x = y * ((x * z) * (z * x)),x * x = x * ((y * z) * x),FALSE,TRUE,FALSE
hard3_0117,x = y * ((z * x) * (x * x)),x * y = (y * (y * x)) * y,TRUE,FALSE,TRUE
hard3_0150,x = x * (((y * x) * y) * z),x = x * ((y * (z * w)) * x),FALSE,TRUE,FALSE
hard3_0152,x = x * (((y * y) * y) * y),x = x * ((x * (x * x)) * x),FALSE,TRUE,FALSE
hard3_0165,x = (y * x) * (x * (z * w)),x = (y * (y * y)) * y,FALSE,TRUE,FALSE
hard3_0168,x = (y * x) * (z * (z * x)),x * x = (x * x) * x,TRUE,FALSE,TRUE
hard3_0181,x = (y * z) * (w * (x * x)),x = ((y * y) * (x * x)) * x,FALSE,TRUE,FALSE
hard3_0184,x = (x * y) * ((y * z) * y),x = (((x * y) * y) * y) * x,FALSE,TRUE,FALSE
hard3_0189,x = (y * x) * ((x * x) * x),x = ((y * z) * z) * (z * x),FALSE,TRUE,FALSE
hard3_0219,x = ((x * y) * x) * (z * w),x = (((x * y) * y) * x) * z,FALSE,TRUE,FALSE
hard3_0242,x = ((y * z) * x) * (x * w),x = ((x * x) * y) * (y * y),FALSE,TRUE,FALSE
hard3_0284,x = ((x * y) * (y * z)) * w,x * x = x * ((y * x) * y),TRUE,FALSE,TRUE
hard3_0305,x = ((x * (y * x)) * x) * z,x = x * (x * ((y * y) * z)),FALSE,TRUE,FALSE
hard3_0342,x * x = y * (x * (x * z)),x * y = (x * z) * (y * y),FALSE,TRUE,FALSE
hard3_0343,x * x = y * (x * (x * z)),x * x = ((y * y) * y) * x,FALSE,TRUE,FALSE
hard3_0350,x * x = y * (z * (x * w)),x * (y * y) = (y * x) * y,FALSE,TRUE,FALSE
hard3_0358,x * x = y * ((x * y) * z),x * (y * y) = (x * x) * y,FALSE,TRUE,FALSE
hard3_0362,x * x = y * ((z * z) * x),x * y = z * (w * (z * y)),FALSE,TRUE,FALSE
hard3_0363,x * x = y * ((z * z) * w),x * x = ((y * z) * z) * y,FALSE,TRUE,FALSE
hard3_0369,x * x = (y * x) * (x * z),(x * y) * z = (y * w) * z,FALSE,TRUE,FALSE
hard3_0386,x * x = ((y * z) * z) * z,x * x = (x * x) * x,TRUE,FALSE,TRUE
hard3_0394,x * (y * z) = (y * y) * x,x * y = z * (w * (y * u)),FALSE,TRUE,FALSE
