id,eq1,eq2,label,an45c_predicted,an38_predicted
hard3_0001,x = y * x,x = x * (x * ((y * z) * x)),TRUE,TRUE,TRUE
hard3_0002,x = x * (x * y),x = (x * ((x * x) * x)) * x,TRUE,TRUE,TRUE
hard3_0003,x = y * (x * x),x = y * (z * (z * (w * x))),TRUE,TRUE,TRUE
hard3_0004,x = y * (z * w),x * (y * y) = y * (z * w),TRUE,TRUE,TRUE
hard3_0005,x = (y * z) * x,x * y = y * ((y * x) * y),TRUE,TRUE,TRUE
hard3_0006,x * x = x * y,x * (x * x) = x * (y * z),TRUE,TRUE,TRUE
hard3_0007,x * x = x * y,x * (y * z) = (x * z) * w,FALSE,FALSE,FALSE
hard3_0008,x * x = y * z,x * (x * y) = (y * x) * z,TRUE,TRUE,TRUE
hard3_0009,x = x * (x * (x * y)),x = (x * (y * (x * x))) * z,FALSE,FALSE,FALSE
hard3_0011,x = x * (x * (y * z)),x = ((x * (y * x)) * x) * x,FALSE,FALSE,FALSE
hard3_0012,x = x * (y * (x * x)),x * x = (x * y) * (x * x),FALSE,FALSE,FALSE
hard3_0013,x = x * (y * (z * x)),x = (((x * x) * x) * x) * x,FALSE,FALSE,FALSE
hard3_0014,x = x * (y * (z * y)),x = (((x * y) * z) * x) * y,TRUE,TRUE,TRUE
hard3_0016,x = y * (x * (x * x)),x * y = (y * y) * (y * y),FALSE,FALSE,FALSE
hard3_0017,x = y * (y * (x * x)),x = (x * (y * z)) * x,FALSE,FALSE,FALSE
hard3_0018,x = y * (y * (x * x)),x = y * (z * (y * (x * x))),FALSE,FALSE,FALSE
hard3_0019,x = y * (y * (z * x)),x = y * (((z * w) * y) * x),FALSE,FALSE,FALSE
hard3_0020,x = y * (z * (z * x)),x = (x * x) * (x * (y * x)),TRUE,TRUE,TRUE
hard3_0021,x = x * ((x * x) * y),x = x * ((y * y) * (y * x)),FALSE,FALSE,FALSE
hard3_0022,x = x * ((x * y) * z),x * y = x * ((y * x) * y),FALSE,FALSE,FALSE
hard3_0023,x = x * ((y * z) * x),x = x * (y * x),TRUE,TRUE,TRUE
hard3_0024,x = x * ((y * z) * z),x = (x * (y * (z * y))) * x,TRUE,TRUE,TRUE
hard3_0026,x = y * ((y * y) * x),x = ((y * y) * z) * (y * x),FALSE,FALSE,FALSE
hard3_0029,x = y * ((z * y) * x),x * y = ((y * z) * z) * y,FALSE,FALSE,FALSE
hard3_0030,x = (x * x) * (y * z),x * y = x * ((x * x) * y),TRUE,TRUE,TRUE
hard3_0033,x = (y * x) * (z * x),x * x = ((y * x) * x) * x,TRUE,TRUE,TRUE
hard3_0034,x = (y * y) * (x * x),x = y * ((x * (z * y)) * x),TRUE,TRUE,TRUE
hard3_0036,x = (x * (x * x)) * y,x = (x * x) * (x * (x * x)),TRUE,TRUE,TRUE
hard3_0037,x = (x * (x * y)) * x,x * x = x * ((y * y) * x),FALSE,FALSE,FALSE
hard3_0038,x = (x * (x * y)) * z,x * x = x * (x * (y * y)),TRUE,TRUE,TRUE
hard3_0041,x = ((x * x) * x) * y,x = (x * ((y * z) * x)) * y,FALSE,FALSE,FALSE
hard3_0042,x = ((x * x) * y) * y,x = x * ((y * y) * (z * w)),FALSE,FALSE,FALSE
hard3_0043,x = ((x * x) * y) * z,x = ((x * y) * (z * y)) * y,TRUE,TRUE,TRUE
hard3_0044,x = ((x * y) * z) * w,x * y = (x * (z * w)) * w,FALSE,FALSE,FALSE
hard3_0046,x = ((y * z) * y) * x,x = (y * (x * (z * z))) * x,TRUE,TRUE,TRUE
hard3_0047,x = ((y * z) * y) * x,x * y = ((y * x) * x) * y,TRUE,TRUE,TRUE
hard3_0049,x = ((y * z) * w) * x,x = y * (z * (x * (w * x))),TRUE,TRUE,TRUE
hard3_0050,x * x = y * (y * x),x * y = ((z * x) * y) * y,FALSE,FALSE,FALSE
hard3_0051,x * y = z * (x * z),x * y = (y * (y * y)) * y,TRUE,TRUE,TRUE
hard3_0052,x * y = z * (y * z),x * y = (x * z) * (x * w),TRUE,TRUE,TRUE
hard3_0053,x * y = z * (y * z),x * (y * z) = y * (w * z),TRUE,TRUE,TRUE
hard3_0054,x * y = z * (z * w),x * y = (x * (z * w)) * u,TRUE,TRUE,TRUE
hard3_0058,x * x = (y * z) * w,x * x = (x * x) * x,TRUE,TRUE,TRUE
