submission_id,board,model,problem_set,problem_index,problem_id,result,runs
EQT01-T00458,scored,GPT-OSS 120B,normal,1,N_001,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,2,N_002,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,3,N_003,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,4,N_004,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,5,N_005,mixed,GRG
EQT01-T00458,scored,GPT-OSS 120B,normal,6,N_006,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,7,N_007,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,8,N_008,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,9,N_009,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,10,N_010,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,11,N_011,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,12,N_012,mixed,RGR
EQT01-T00458,scored,GPT-OSS 120B,normal,13,N_013,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,14,N_014,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,15,N_015,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,16,N_016,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,17,N_017,mixed,GGR
EQT01-T00458,scored,GPT-OSS 120B,normal,18,N_018,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,19,N_019,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,20,N_020,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,21,N_021,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,22,N_022,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,23,N_023,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,24,N_024,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,25,N_025,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,26,N_026,mixed,GRG
EQT01-T00458,scored,GPT-OSS 120B,normal,27,N_027,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,28,N_028,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,29,N_029,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,30,N_030,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,31,N_031,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,32,N_032,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,33,N_033,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,34,N_034,mixed,GGR
EQT01-T00458,scored,GPT-OSS 120B,normal,35,N_035,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,36,N_036,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,37,N_037,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,38,N_038,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,39,N_039,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,40,N_040,mixed,GRG
EQT01-T00458,scored,GPT-OSS 120B,normal,41,N_041,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,42,N_042,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,43,N_043,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,44,N_044,mixed,GGR
EQT01-T00458,scored,GPT-OSS 120B,normal,45,N_045,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,46,N_046,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,47,N_047,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,48,N_048,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,49,N_049,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,50,N_050,mixed,RGR
EQT01-T00458,scored,GPT-OSS 120B,normal,51,N_051,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,52,N_052,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,53,N_053,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,54,N_054,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,55,N_055,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,56,N_056,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,57,N_057,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,58,N_058,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,59,N_059,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,60,N_060,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,61,N_061,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,62,N_062,mixed,GGR
EQT01-T00458,scored,GPT-OSS 120B,normal,63,N_063,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,64,N_064,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,65,N_065,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,66,N_066,mixed,GRG
EQT01-T00458,scored,GPT-OSS 120B,normal,67,N_067,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,68,N_068,mixed,GRR
EQT01-T00458,scored,GPT-OSS 120B,normal,69,N_069,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,70,N_070,mixed,GGR
EQT01-T00458,scored,GPT-OSS 120B,normal,71,N_071,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,72,N_072,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,73,N_073,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,74,N_074,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,75,N_075,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,76,N_076,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,77,N_077,mixed,RGR
EQT01-T00458,scored,GPT-OSS 120B,normal,78,N_078,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,79,N_079,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,80,N_080,mixed,RGR
EQT01-T00458,scored,GPT-OSS 120B,normal,81,N_081,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,82,N_082,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,83,N_083,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,84,N_084,mixed,GRR
EQT01-T00458,scored,GPT-OSS 120B,normal,85,N_085,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,86,N_086,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,87,N_087,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,88,N_088,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,89,N_089,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,90,N_090,mixed,GRG
EQT01-T00458,scored,GPT-OSS 120B,normal,91,N_091,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,92,N_092,mixed,GRR
EQT01-T00458,scored,GPT-OSS 120B,normal,93,N_093,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,94,N_094,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,95,N_095,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,96,N_096,mixed,GRR
EQT01-T00458,scored,GPT-OSS 120B,normal,97,N_097,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,98,N_098,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,99,N_099,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,100,N_100,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,101,N_101,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,102,N_102,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,103,N_103,mixed,RGR
EQT01-T00458,scored,GPT-OSS 120B,normal,104,N_104,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,105,N_105,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,106,N_106,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,107,N_107,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,108,N_108,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,109,N_109,mixed,RGG
EQT01-T00458,scored,GPT-OSS 120B,normal,110,N_110,mixed,GRG
EQT01-T00458,scored,GPT-OSS 120B,normal,111,N_111,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,112,N_112,mixed,GRG
EQT01-T00458,scored,GPT-OSS 120B,normal,113,N_113,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,114,N_114,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,115,N_115,incorrect,R
EQT01-T00458,scored,GPT-OSS 120B,normal,116,N_116,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,117,N_117,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,118,N_118,mixed,RRG
EQT01-T00458,scored,GPT-OSS 120B,normal,119,N_119,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,120,N_120,mixed,RGR
EQT01-T00458,scored,GPT-OSS 120B,normal,121,N_121,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,122,N_122,mixed,GRR
EQT01-T00458,scored,GPT-OSS 120B,normal,123,N_123,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,124,N_124,mixed,RGR
EQT01-T00458,scored,GPT-OSS 120B,normal,125,N_125,correct,G
EQT01-T00458,scored,GPT-OSS 120B,normal,126,N_126,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,1,N_001,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,2,N_002,mixed,RGR
EQT01-T00458,scored,Gemma 4 31B IT,normal,3,N_003,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,4,N_004,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,5,N_005,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,6,N_006,mixed,RGG
EQT01-T00458,scored,Gemma 4 31B IT,normal,7,N_007,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,8,N_008,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,9,N_009,mixed,GRG
EQT01-T00458,scored,Gemma 4 31B IT,normal,10,N_010,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,11,N_011,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,12,N_012,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,13,N_013,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,14,N_014,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,15,N_015,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,16,N_016,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,17,N_017,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,18,N_018,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,19,N_019,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,20,N_020,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,21,N_021,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,22,N_022,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,23,N_023,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,24,N_024,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,25,N_025,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,26,N_026,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,27,N_027,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,28,N_028,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,29,N_029,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,30,N_030,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,31,N_031,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,32,N_032,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,33,N_033,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,34,N_034,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,35,N_035,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,36,N_036,incorrect,R
EQT01-T00458,scored,Gemma 4 31B IT,normal,37,N_037,correct,G
EQT01-T00458,scored,Gemma 4 31B IT,normal,38,N_038,correct,G
